"","NAME","BORO","ZIP","TEL","TYPE","GRADE","LON","LAT","ADDRESS"
"645","JAMBA JUICE","MANHATTAN",10019,"2128239600","Dessert","A",-73.9831903,40.7684251,"10 COLUMBUS CIRCLE, New York City"
"646","GRAMERCY STAR CAFE","MANHATTAN",10010,"2125053663","American","",-73.9842543,40.7398336,"23 LEXINGTON AVENUE, New York City"
"647","CHARRUA","MANHATTAN",10002,"2126775838","European","B",-73.9876176,40.7200486,"131 ESSEX ST, New York City"
"648","HOMEMADE DUMPLING","MANHATTAN",10002,"2125292700","Chinese","P",-73.9898399,40.7157468,"27 ESSEX STREET, New York City"
"649","LI'L JAYS CAFE","MANHATTAN",10019,"2122396884","Dessert","A",-73.9892342,40.7707237,"524 W 59TH ST, New York City"
"650","CRAZY WILLYS BAR","QUEENS",11418,"7184415617","American","",-73.832158,40.6994615,"11710 JAMAICA AVE, New York City"
"651","TRINCITI KITCHEN","QUEENS",11420,"7186414646","Mexcian","A",-73.820867,40.68018,"11111 LEFFERTS BOULEVARD, New York City"
"652","IMPERIAL PALACE","QUEENS",11354,"7183580888","Chinese","",-73.8306391,40.7618767,"13613 37 AVENUE, New York City"
"653","ACADEMY RESTAURAUNT","BROOKLYN",11217,"7182379326","American","A",-73.9757587,40.6873161,"69 LAFAYETTE AVENUE, New York City"
"654","LAHORE DELICATESSEN","MANHATTAN",10012,"2129651777","Other","A",-73.9963895,40.7247678,"132 CROSBY STREET, New York City"
"655","LA ESTRELLA TROPICAL","BRONX",10467,"7187985723","European","",-73.8649348,40.8711393,"744 BURKE AVENUE, New York City"
"656","NEW STAR","BROOKLYN",11235,"7188916868","Chinese","",-73.9477267,40.5927916,"2212 AVENUE X, New York City"
"657","DEACON BRODIE'S","MANHATTAN",10036,"2122621452","European","A",-73.9904249,40.7606719,"370 WEST 46 STREET, New York City"
"658","KAVA CAFE","MANHATTAN",10036,"9172071110","Dessert","",-73.9952605,40.7593076,"470 WEST   42 STREET, New York City"
"659","BICHEIRO'S CAFE","QUEENS",11418,"9175006383","American","B",-73.8418431,40.6954272,"10505 JAMAICA AVENUE, New York City"
"660","FAY DA BAKERY","MANHATTAN",10013,"2129668934","QuickMeal","A",-73.9997895,40.7186898,"191 CENTRE STREET, New York City"
"661","GYRO UNO","QUEENS",11103,"7182744870","European","",-73.9136068,40.7653024,"2801 STEINWAY STREET, New York City"
"662","MAMMA ROSA'S","BRONX",10469,"7188810242","QuickMeal","",-73.8583339,40.8656905,"1007 ALLERTON AVENUE, New York City"
"663","CAFE LUNA","STATEN ISLAND",10309,"7182278582","Italian","C",-74.234435,40.523651,"31 PAGE AVENUE, New York City"
"664","MANHATTAN 3 DECKER RESTAURANT","BROOKLYN",11222,"7183896565","American","",-73.9532416,40.8099485,"695 MANHATTAN AVENUE, New York City"
"665","LENNY & JOHN'S PIZZA","BROOKLYN",11234,"7182529710","Italian","A",-73.9345332,40.6201198,"2036 FLATBUSH AVENUE, New York City"
"666","LONGHORN STEAKHOUSE","QUEENS",11373,"7183351371","American","",-73.8678231,40.7340908,"9230 59TH AVE, New York City"
"667","ALYSHIA ALEEM COFFEE SHOP","MANHATTAN",10010,"2122554811","Dessert","B",-73.9927929,40.7410036,"46 WEST   21 STREET, New York City"
"668","COLSON PATISSERIE","BROOKLYN",11215,"7189656400","QuickMeal","",-73.9852273,40.7283254,"374 9 STREET, New York City"
"669","MK KARAOKE","MANHATTAN",10001,"2125643436","Asian","",-73.9862098,40.7477351,"11 WEST   32 STREET, New York City"
"670","HUDSON STATION","MANHATTAN",10001,"2122444406","American","",-73.9954924,40.7536713,"440 9 AVENUE, New York City"
"672","THE UP & UP","MANHATTAN",10012,"9177106040","American","",-74.000472,40.7296935,"116 MACDOUGAL ST, New York City"
"673","SUBWAY","STATEN ISLAND",10305,"7187277779","QuickMeal","A",-74.0664876,40.6152616,"1145 BAY STREET, New York City"
"674","SPREADS","MANHATTAN",10016,"2127585555","American","A",-73.9830067,40.7443398,"441 PARK AVENUE SOUTH, New York City"
"675","S.R. DELI GROCERY","QUEENS",11373,"7184768059","Mexcian","A",-73.87392,40.743265,"9114 43 AVENUE, New York City"
"676","Z-TWO DINER & LOUNGE","STATEN ISLAND",10309,"7183566800","American","",-74.230729,40.527271,"2925 VETERANS ROAD WEST, New York City"
"677","ANI SUSHI","BROOKLYN",11201,"7189231800","Asian","A",-73.9936635,40.6944374,"142 MONTAGUE STREET, New York City"
"678","JO JO PIZZA & BURGERS","BRONX",10451,"7182920601","QuickMeal","",-73.9243007,40.8179302,"231B E 149TH ST, New York City"
"679","DUNKIN' DONUTS","BROOKLYN",11249,"7187828210","Dessert","A",-73.9579459,40.7178424,"182 BEDFORD AVE, New York City"
"680","Q MARQET","MANHATTAN",10029,"2128311754","American","",-73.9537346,40.7886376,"38 E 98TH ST, New York City"
"681","L'AMICI","QUEENS",11434,"7189786300","QuickMeal","",-73.7764224,40.6634487,"16053 ROCKAWAY BOULEVARD, New York City"
"682","MOKBAR","MANHATTAN",10011,"6469645963","Asian","",-74.0060838,40.7425547,"75 9th AVE, New York City"
"683","RED LOBSTER","BROOKLYN",11239,"4072455773","Seafood","",-73.8700453,40.6509162,"455 GATEWAY DR, New York City"
"684","KING WAH RESTAURANT ZHANG","QUEENS",11377,"7186518080","Chinese","",-73.8971005,40.7546159,"6911 NORTHERN BLVD, New York City"
"685","ROTI BOTI RESTAURANT","QUEENS",11102,"7182787888","Other","A",-73.9262369,40.7718629,"2709 21 STREET, New York City"
"686","765 FOOD MARKET","MANHATTAN",10017,"2126976080","QuickMeal","A",-73.9729402,40.7491569,"765 2 AVENUE, New York City"
"687","SPICE","MANHATTAN",10025,"2128644168","Asian","A",-73.964578,40.801536,"975 AMSTERDAM AVE, New York City"
"688","RYUJIN RAMEN","BROOKLYN",11211,"7187099888","Asian","",-73.9820948,40.7144075,"513 GRAND ST, New York City"
"689","SHELLCOVE & CHINGER","QUEENS",11373,"7185026668","Asian","A",-73.8800411,40.7408701,"8302 BROADWAY, New York City"
"690","DELICIOUS FRUIT","BRONX",10457,"9178193453","QuickMeal","A",-73.90754,40.847254,"1820 GRAND CONCOURSE, New York City"
"691","UNCLE SAM'S","MANHATTAN",10016,"2122173938","QuickMeal","A",-73.9854218,40.7466242,"307 5TH AVE, New York City"
"692","BAY HOUSE BISTRO","STATEN ISLAND",10304,"7185560480","Asian","",-74.0766016,40.6278912,"574 BAY ST, New York City"
"693","GEORGE'S","MANHATTAN",10006,"2122698026","American","A",-74.0097722,40.7221373,"8789 GREENWICH STREET, New York City"
"694","SHILLA UNION","QUEENS",11354,"7184453155","Asian","A",-73.8265948,40.7714651,"2918 UNION STREET, New York City"
"695","NEW MING'S KITCHEN","QUEENS",11373,"7183699162","Chinese","",-73.8657003,40.7369468,"5615 JUNCTION BLVD, New York City"
"696","TUSCANY GRILL","BROOKLYN",11209,"7189215633","Italian","B",-73.9906003,40.7286208,"8620 3 AVENUE, New York City"
"697","JUDY'S SPANISH RESTUARANT","MANHATTAN",10029,"2128310193","European","",-73.9500894,40.7866094,"1505 LEXINGTON AVE, New York City"
"698","CHEN YUAN CHINESE FOOD","BROOKLYN",11221,"7189192542","Chinese","A",-73.9106382,40.6941583,"714 KNICKERBOCKER AVENUE, New York City"
"699","TENGU SUSHI & NOODLE HOUSE","BROOKLYN",11219,"7186333336","Asian","",-74.0056875,40.6333075,"5920 FORT HAMILTON PARKWAY, New York City"
"700","TORO","MANHATTAN",10011,"2126912360","European","A",-74.0081402,40.7430227,"85 10TH AVE, New York City"
"701","BAGELICIOUS","QUEENS",11375,"7184593596","QuickMeal","A",-73.8491481,40.7327145,"6401 108 STREET, New York City"
"702","EL CASTILLO RESTAURANT","BRONX",10459,"7184508694","American","A",-73.896539,40.821321,"935 EAST  163 STREET, New York City"
"703","CHICKEN LOVERS RESTAURANT","QUEENS",11361,"7182258482","Chinese","B",-73.7671639,40.7605537,"21509 NORTHERN BOULEVARD, New York City"
"704","FABIANE'S CAFE & PASTRY","BROOKLYN",11211,"7182189632","QuickMeal","A",-73.9589118,40.716538,"142 NORTH    5 STREET, New York City"
"705","TARTINERY","MANHATTAN",10281,"6467558484","European","A",-74.0152654,40.7119835,"225 LIBERTY ST, New York City"
"706","GRAND ARMY BAR","BROOKLYN",11217,"7184227867","Seafood","",-73.986586,40.688159,"336 STATE ST, New York City"
"707","MYUNG SAN RESTAURANT","QUEENS",11358,"7188881245","Asian","B",-73.8030972,40.7621556,"16221 DEPOT ROAD, New York City"
"708","PIG AND KHAO","MANHATTAN",10002,"2129204485","Asian","",-73.9848038,40.7192718,"68 CLINTON STREET, New York City"
"709","DE MARCO COFFEE","MANHATTAN",10022,"2127029136","Dessert","A",-73.9714247,40.7567148,"569 LEXINGTON AVENUE, New York City"
"710","DUNKIN' DONUTS","QUEENS",11414,"7183232892","QuickMeal","",-73.85196,40.6666906,"8209 153 AVENUE, New York City"
"711","GROVE SMOOTHIE KING, RED MANGO, ILLY","QUEENS",11430,"7184255678","Dessert","",-73.7781391,40.6413111,"0 JFK INTERNATIONAL AIRPOR, New York City"
"712","F&J'S PINE RESTAURANT","BRONX",10462,"7187925956","Italian","A",-73.8622891,40.8487288,"1913 BRONXDALE AVENUE, New York City"
"713","PARK AVENUE WINTER","MANHATTAN",10010,"2129517111","American","",-73.9855768,40.7421039,"360 PARK AVENUE SOUTH, New York City"
"714","VAN LEEUWEN ARTISAN ICE CREAM","BROOKLYN",11201,"3477632979","Dessert","A",-73.9901428,40.6867136,"81 BERGEN STREET, New York City"
"715","PINA DULCE RESTAURANT","BROOKLYN",11219,"7184355726","European","",-73.9996782,40.7589089,"914 39TH ST, New York City"
"716","JOEY PEPPERONI","MANHATTAN",10016,"2122135558","QuickMeal","A",-73.9790023,40.7409749,"493 2ND AVE, New York City"
"717","VIEW OF THE WORLD TERRACE CLUB","MANHATTAN",10006,"6467463200","American","",-74.013961,40.7098673,"140 WASHINGTON STREET, New York City"
"718","GRACE PIZZA","QUEENS",11385,"7184176018","Italian","",-73.8808275,40.7021348,"7005 MYRTLE AVENUE, New York City"
"719","FOO ON CHINESE RESTAURANT","QUEENS",11432,"7182971287","Chinese","A",-73.778561,40.7135984,"18304 HILLSIDE AVENUE, New York City"
"720","GOOD KITCHEN SEAFOOD RESTAURANT","QUEENS",11354,"7188868233","Chinese","",-73.8321798,40.7615159,"13529 37 AVENUE, New York City"
"721","CARLOS AND GABBY'S","QUEENS",11367,"7185758226","Other","A",-73.825009,40.7337688,"6711 MAIN STREET, New York City"
"722","LOCAL SHOP","MANHATTAN",10012,"2122532601","American","A",-74.0020555,40.727089,"144 SULLIVAN STREET, New York City"
"723","LITTLE CAESARS","BRONX",10452,"7189929000","QuickMeal","A",-73.9214627,40.8360303,"15 EAST  167 STREET, New York City"
"724","VIVI BUBBLE TEA","MANHATTAN",10036,"2129560288","Dessert","",-73.99235,40.759368,"607 9TH AVE, New York City"
"725","MASTER BAO","MANHATTAN",10013,"2129666206","Chinese","",-73.9979584,40.7178406,"122 MULBERRY ST, New York City"
"726","MARTINZ FOODZ 2 GO","BRONX",10466,"7185010400","Mexcian","",-73.831301,40.8889571,"3836 DYRE AVE, New York City"
"727","WOO CHON RESTAURANT","QUEENS",11355,"7184630803","Asian","B",-73.8288337,40.7581016,"4119 KISSENA BOULEVARD, New York City"
"728","HUNTER'S","BROOKLYN",11201,"7182462221","American","",-73.9916918,40.6844878,"213 SMITH STREET, New York City"
"729","SARABETH'S","MANHATTAN",10019,"2128265959","American","A",-73.9756694,40.765125,"40 CENTRAL PARK SOUTH, New York City"
"730","CHOPSTICK ASIAN CUISINE","QUEENS",11373,"7186990866","Asian","A",-73.8725633,40.7422763,"9128 CORONA AVE, New York City"
"731","PEKING KITCHEN","BRONX",10462,"7188297464","Chinese","A",-73.8665222,40.8543674,"724 LYDIG AVENUE, New York City"
"732","CHINA ONE RESTAURANT","BROOKLYN",11220,"7189728233","Chinese","",-73.9356831,40.8314596,"4503 8TH AVE, New York City"
"733","MARIO'S","STATEN ISLAND",10304,"7189791075","American","A",-74.1014386,40.5896637,"1657 RICHMOND RD, New York City"
"734","DUFFY'S","STATEN ISLAND",10310,"7184479276","American","A",-74.1107786,40.6295647,"650 FOREST AVENUE, New York City"
"735","LA LIBERTAD RESTAURANT","QUEENS",11417,"7183233900","European","A",-73.842465,40.6809129,"9619 LIBERTY AVENUE, New York City"
"736","G'S HOMESTYLE COOKING","QUEENS",11435,"7182629320","Mexcian","",-73.8065122,40.6980754,"9508 SUTPHIN BOULEVARD, New York City"
"737","THE HARD HATE CAFE","STATEN ISLAND",10301,"6467736001","Other","",-74.0757709,40.6398308,"90 BAY ST, New York City"
"738","MUSTANG THAKALI KITCHEN","QUEENS",11372,"7188985088","Asian","",-73.8912298,40.74875,"7414 37 AVENUE, New York City"
"739","CORNER BISTRO","MANHATTAN",10014,"2122429502","American","Z",-74.0037823,40.7380122,"331 WEST    4 STREET, New York City"
"740","JEREMY'S ALE HOUSE","MANHATTAN",10038,"2129643537","American","",-74.0021069,40.707725,"228 FRONT STREET, New York City"
"741","GREEN LAKE","BROOKLYN",11226,"7182840088","Chinese","",-73.9591676,40.6532452,"795 FLATBUSH AVENUE, New York City"
"742","THE BISTRO","MANHATTAN",10018,"2129120009","American","A",-73.9925544,40.7544922,"307 W 37TH ST, New York City"
"743","CAFE FRESCO","MANHATTAN",10022,"2123555151","American","A",-73.9655126,40.7621449,"205 EAST   60 STREET, New York City"
"744","GEORGE'S RESTAURANT","BROOKLYN",11206,"7183887794","American","",-73.9931034,40.7297744,"733 BROADWAY, New York City"
"745","ECUA POLLOS DELI RESTAURANT","BROOKLYN",11221,"7185735276","American","A",-73.926816,40.6977424,"1262 MYRTLE AVENUE, New York City"
"746","JIMMY'S CORNER","MANHATTAN",10036,"2122219510","American","",-73.984838,40.756594,"140 WEST   44 STREET, New York City"
"747","MIA PIZZA","QUEENS",11105,"7187771700","QuickMeal","A",-73.9143902,40.7790622,"2417 DITMARS BOULEVARD, New York City"
"748","BOMBAY SANDWICH CO","MANHATTAN",10001,"6467819756","Other","",-73.9904104,40.7449454,"48 W. 27TH STREET, New York City"
"749","LA PARRANDA MEXICANA BAR & RESTAURANT","BROOKLYN",11214,"7182663722","Dessert","",-73.990078,40.5994087,"2366 86 STREET, New York City"
"750","TAJADAS BAKERY & RESTAURANT","QUEENS",11421,"7188460101","American","",-73.848425,40.694853,"9705 JAMAICA AVENUE, New York City"
"751","VINNY VINCENZ","MANHATTAN",10003,"2126740707","QuickMeal","",-73.9830962,40.7311787,"231 1 AVENUE, New York City"
"752","EL RINCON DE LA VIEJA BAKERY AND RESTAURANT","QUEENS",11355,"3475423893","American","B",-73.8225849,40.7571866,"4186 BOWNE STREET, New York City"
"753","EMPLOYEE CAFETERIA, SOCIAL SECURITY ADMINISTRATION OFFICE","QUEENS",11432,"7185575811","American","A",-73.8009004,40.7026796,"155-10 JAMAICA AVE, New York City"
"754","EMPLOYEE CAFETERIA, SOCIAL SECURITY ADMINISTRATION OFFICE","QUEENS",11432,"7185575811","American","A",-73.8009004,40.7026796,"155-10 JAMAICA AVE, New York City"
"755","WHITE CASTLE","QUEENS",11373,"7184260618","QuickMeal","A",-73.8731593,40.7347721,"8903 57 AVENUE, New York City"
"756","RICHIE RICH CARIBBEAN TASTE II","BRONX",10469,"7187088431","Mexcian","Z",-73.849862,40.8755731,"3357 FISH AVENUE, New York City"
"757","L'ARTUSI","MANHATTAN",10014,"2122555757","American","A",-74.0051219,40.7337258,"228 WEST   10 STREET, New York City"
"758","IL GATTOPARDO","MANHATTAN",10019,"2122460412","Italian","A",-73.9763981,40.7616956,"13-15 WEST 54TH STREET, New York City"
"759","MCDONALD'S","MANHATTAN",10016,"2125328186","QuickMeal","A",-73.9790621,40.744965,"480 3 AVENUE, New York City"
"760","RIVERDALE PIE GUYS","BRONX",10471,"7187086128","QuickMeal","",-73.8978702,40.905297,"5784 MOSHOLU AVENUE, New York City"
"761","TERRA BLUES","MANHATTAN",10012,"2127777776","American","",-73.9992499,40.7284254,"149 BLEEKER STREET, New York City"
"762","KINGDOM CAFE & RISTORANTE","STATEN ISLAND",10312,"7189486988","Italian","",-74.1601481,40.5448741,"4350 AMBOY ROAD, New York City"
"763","D'ALESSANDRO'S CORNER GRILL","QUEENS",11361,"7182247455","American","",-73.7711483,40.7644551,"3935 BELL BOULEVARD, New York City"
"764","FRANCO'S","BRONX",10451,"3475771466","QuickMeal","",-73.921482,40.817328,"295 EAST  149 STREET, New York City"
"765","SHERATON TRIBECA (ANTICA/STARBUCKS)","MANHATTAN",10013,"2123663400","American","",-74.0015925,40.719175,"370372 CANAL STREET, New York City"
"766","WASABI POINT","QUEENS",11373,"7182051056","Asian","A",-73.8881615,40.743306,"7618 WOODSIDE AVENUE, New York City"
"767","SUBWAY","MANHATTAN",10007,"2124067582","QuickMeal","",-74.0075402,40.7151466,"165 CHURCH STREET, New York City"
"768","QUEENS COFFEE SHOP","QUEENS",11368,"7184293552","American","",-73.8559465,40.7513484,"10880 ROOSEVELT AVENUE, New York City"
"769","TEXAS CHICKEN & BURGERS","QUEENS",11004,"7187495118","Chinese","A",-73.7121228,40.7366982,"25521 HILLSIDE AVE, New York City"
"770","ROSE BAKERY","MANHATTAN",10016,"6468377754","European","B",-73.9817188,40.7440962,"160 LEXINGTON AVE, New York City"
"771","SUBWAY","QUEENS",11375,"7182611688","QuickMeal","A",-73.8387574,40.7186693,"11078 QUEENS BOULEVARD, New York City"
"772","AU BON PAIN","MANHATTAN",10018,"2125025939","QuickMeal","A",-73.990494,40.7569545,"625 8 AVENUE, New York City"
"773","THAI SON","MANHATTAN",10013,"2127322822","Asian","A",-73.9995252,40.7167776,"89 BAXTER STREET, New York City"
"774","DALLAS BBQ","QUEENS",11374,"7185929000","Other","A",-73.8635717,40.7333304,"6135 JUNCTION BOULEVARD, New York City"
"775","RUSTIC TABLE","MANHATTAN",10036,"2122440744","European","A",-73.995872,40.759451,"500 W 42ND ST, New York City"
"776","SAHARA GRILL","QUEENS",11420,"9294993526","Other","B",-73.8185309,40.675834,"11916 ROCKAWAY BLVD, New York City"
"777","SILVER STAR RESTAURANT","MANHATTAN",10065,"2122494250","American","",-73.9615571,40.7640017,"1236 2 AVENUE, New York City"
"778","SUBWAY","BRONX",10460,"7183782702","QuickMeal","",-73.8830989,40.8379329,"961 EAST 174 STREET, New York City"
"779","SUBWAY","QUEENS",11434,"7185257827","American","",-73.765484,40.6812978,"12702 MERRICK BOULEVARD, New York City"
"780","EAST MEETS WEST","QUEENS",11694,"7184745999","Chinese","",-73.8496301,40.5783663,"421 BEACH  129 STREET, New York City"
"781","GENNARO RESTAURANT","MANHATTAN",10025,"2126655348","Italian","",-73.9717285,40.7917717,"665 AMSTERDAM AVENUE, New York City"
"782","MORGAN STANLEY EMPLOYEE CAFETERIA","MANHATTAN",10004,"2122760256","American","A",-74.0118801,40.7020841,"1 NEW YORK PLAZA, New York City"
"783","SOPHIE'S CUBAN CUISINE","MANHATTAN",10018,"2122217853","American","",-73.98631,40.7522623,"1015 AVENUE OF THE AMERICAS, New York City"
"784","KOA RESTAURANT","MANHATTAN",10010,"2123885736","Asian","",-73.9916518,40.7405173,"12 W 21ST ST, New York City"
"785","TROPICAL ISLE CARRIBEAN RESTAURANT","QUEENS",11419,"7188484753","Mexcian","A",-73.8244341,40.6863516,"118-19 LIBERTY AVENUE, New York City"
"786","QUALITY MEATS","MANHATTAN",10019,"2123717777","American","",-73.9761967,40.7649625,"57 WEST   58 STREET, New York City"
"787","GOOD ENOUGH TO EAT (A.G. BISTRO)","MANHATTAN",10024,"2125793194","American","",-73.9727735,40.7859871,"520 COLUMBUS AVENUE, New York City"
"788","ROYAL BAKERY & ROTI SHOP","BROOKLYN",11216,"7186040200","Mexcian","A",-73.9500255,40.6774284,"618 NOSTRAND AVENUE, New York City"
"789","TAQUERIA DELI GROCERY","BROOKLYN",11214,"7182361111","Mexcian","",-74.0074207,40.6043996,"1738 BATH AVENUE, New York City"
"790","GLENDALE SPORT CLUB","QUEENS",11385,"9174050389","Dessert","",-73.874235,40.702635,"7403 MYRTLE AVENUE, New York City"
"791","ROMAGNA READY 2 GO","MANHATTAN",10012,"9178187460","Italian","",-74.001086,40.728893,"182 BLEECKER ST, New York City"
"792","MESS HALL","MANHATTAN",10026,"6466923098","American","A",-73.9539875,40.8058563,"2194 FRDRCK DGLS BLVD, New York City"
"793","NUEVA AMBATENITA LA ESQUINA DEL SABOR","QUEENS",11368,"7184782215","American","",-73.8590417,40.7507633,"3924 108 STREET, New York City"
"794","LINCOLN PARK BAR & GRILL","MANHATTAN",10019,"2129742826","American","",-73.9865168,40.7675726,"867 9 AVENUE, New York City"
"795","8 PAET RIO","QUEENS",11373,"9178326672","Asian","A",-73.8837041,40.7431242,"8110 BROADWAY, New York City"
"796","BLACK TAP","MANHATTAN",10013,"9176393089","American","A",-74.0043125,40.7238189,"529 BROOME ST, New York City"
"797","DELTA SKY CLUB","QUEENS",11430,"7187042350","American","",-73.7781391,40.6413111,"4 JKF INTL AIRPORT, New York City"
"798","EL PATIO","QUEENS",11432,"7185584441","European","A",-73.7803725,40.7087034,"18005 JAMAICA AVENUE, New York City"
"799","GREAT TASTE BAKERY","MANHATTAN",10038,"6466424110","QuickMeal","",-73.9969397,40.7120833,"3335 CATHERINE STREET, New York City"
"800","CROCUS","BROOKLYN",11216,"7186222426","Dessert","",-73.9447686,40.6864734,"328 TOMPKINS AVE, New York City"
"801","INSOMNIA COOKIES","MANHATTAN",10016,"2153831320","QuickMeal","",-73.9789487,40.7450181,"482 3 AVENUE, New York City"
"802","ONOMEA","BROOKLYN",11211,"3478449559","Other","A",-73.9562856,40.7139315,"84 HAVEMEYER STREET, New York City"
"803","CORNER OF VERMONT","BROOKLYN",11215,"3478449288","QuickMeal","A",-73.9838868,40.7493722,"374 5TH AVE, New York City"
"804","CORATO I PIZZA & RESTAURANT","QUEENS",11385,"7184976177","Italian","",-73.8969097,40.7058161,"6694 FRESH POND ROAD, New York City"
"805","LUCKY DRAGON BAKERY","BROOKLYN",11220,"7188513688","QuickMeal","B",-73.9361877,40.8305223,"5214 8 AVENUE, New York City"
"806","FOREST HILLS BAGELS","QUEENS",11375,"7182635858","American","",-73.8378659,40.7189556,"11210 QUEENS BOULEVARD, New York City"
"807","THE BOWERY BALLROOM","MANHATTAN",10002,"2125332111","American","",-73.9933374,40.7204379,"6 DELANCEY STREET, New York City"
"808","3 WAY RESTAURANT","BRONX",10458,"7182959595","American","B",-73.8935665,40.8598975,"384 EAST  188 STREET, New York City"
"809","MESA AZTECA","BROOKLYN",11237,"3473782838","Mexcian","",-73.9201247,40.7051223,"91 WYCKOFF AVENUE, New York City"
"810","WENDY'S","MANHATTAN",10003,"2122430438","QuickMeal","A",-73.9926828,40.7353732,"20 E 14TH ST, New York City"
"811","MODERN GOURMET","MANHATTAN",10003,"2126770047","American","",-73.9916175,40.732147,"793 BROADWAY, New York City"
"812","MIDDLE BRANCH","MANHATTAN",10016,"2122131350","American","",-73.9794616,40.7452845,"154 EAST   33 STREET, New York City"
"813","MANITOBA'S","MANHATTAN",10009,"2129822511","American","A",-73.9812246,40.7246678,"99 AVENUE B, New York City"
"814","ORGANIC FOOD, NATURAL JUICES AND COFFEE SHOP","QUEENS",11368,"9174201425","European","",-73.8680868,40.7493107,"9706 ROOSEVELT AVE, New York City"
"815","ASIAN GOURMET","MANHATTAN",10029,"2128603399","Asian","",-73.9500062,40.7867285,"1509 LEXINGTON AVENUE, New York City"
"816","ROC RESTAURANT","MANHATTAN",10013,"2126253333","Italian","",-74.0104631,40.7172655,"323 GREENWICH STREET, New York City"
"817","HARLEM BURGER CO.","MANHATTAN",10026,"9177141411","American","",-73.954103,40.8057419,"2190 FREDERICK DOUGLASS BLVD, New York City"
"818","TSQ BRASSERIE","MANHATTAN",10019,"2123981118","American","Z",-73.9838059,40.7598196,"723 7 AVENUE, New York City"
"819","LA DULCE BAKERY","QUEENS",11377,"7182055399","American","",-73.8976928,40.7460338,"6710 ROOSEVELT AVENUE, New York City"
"820","NINO'S RESTAURANT","MANHATTAN",10021,"2129880002","Italian","A",-73.9553309,40.7681212,"1354 1 AVENUE, New York City"
"821","YOPPARAI","MANHATTAN",10002,"2127777253","Asian","Z",-73.985732,40.719125,"151 RIVINGTON STREET, New York City"
"822","TEA SHOP 168 & BAKERY","QUEENS",11355,"7184600689","Chinese","B",-73.8259178,40.7433073,"5920 MAIN STREET, New York City"
"823","THE SPOT CAFE","QUEENS",11385,"3479874411","Dessert","",-73.8969792,40.7072772,"6105 MADISON ST, New York City"
"824","SUBWAY","QUEENS",11372,"3479567974","QuickMeal","A",-73.8875342,40.7555337,"7919 NORTHERN BOULEVARD, New York City"
"825","ARUNEE THAI","QUEENS",11372,"7182055559","Asian","A",-73.8873596,40.7494363,"7823 37TH AVE, New York City"
"826","CHASE TASTE BUFFET","QUEENS",11435,"7185588666","Chinese","",-73.804928,40.70221,"14921 JAMAICA AVE, New York City"
"827","SUSHI SUSHI","MANHATTAN",10027,"2128667876","Asian","",-73.9594816,40.8152394,"54 TIEMANN PLACE, New York City"
"828","FENG SHUI CHINESE CUISINE","MANHATTAN",10017,"2123386810","Chinese","",-73.9772294,40.7527262,"0 GRAND CENTRAL TERMINAL, New York City"
"829","Pizza Guys","BROOKLYN",11233,"3474250685","QuickMeal","Z",-73.9202983,40.6853835,"93 HOWARD AVE, New York City"
"830","ZEN 6","MANHATTAN",10003,"2125336855","Asian","",-73.9882073,40.7290672,"31 SAINT MARK'S PLACE, New York City"
"831","FORT HAMILTON DINER","BROOKLYN",11209,"7182385151","American","",-74.0314395,40.6160142,"9502 FOURTH AVENUE, New York City"
"832","PUFFY'S TAVERN","MANHATTAN",10013,"2122273912","American","A",-74.0090849,40.7185523,"81 HUDSON STREET, New York City"
"833","VON","MANHATTAN",10012,"2124733039","American","A",-73.99259,40.725475,"3 BLEECKER STREET, New York City"
"834","LA BOINA ROJA STEAK HOUSE","QUEENS",11372,"7184246711","American","",-73.8854891,40.7495032,"8022 37 AVENUE, New York City"
"835","RIVER JAPANESE CUISINE","QUEENS",11364,"7187477390","Asian","B",-73.7564358,40.7479927,"6144 SPRINGFIELD BOULEVARD, New York City"
"836","NATIONAL BAKERY","BRONX",10467,"7186533870","QuickMeal","",-73.864681,40.865699,"767 ALLERTON AVENUE, New York City"
"837","DAIRY QUEEN GRILL & CHILL","STATEN ISLAND",10301,"7184476035","American","",-74.0725262,40.644212,"10 FERRY TERMINAL DR, New York City"
"838","PALM COURT","MANHATTAN",10019,"2127593000","American","",-73.9743547,40.7646095,"768 FIFTH AVE, New York City"
"839","BARAWINE","MANHATTAN",10027,"6467564154","European","",-73.9473059,40.8043657,"27 W 120TH ST, New York City"
"840","CAPRI II PIZZA","BRONX",10475,"7186713822","QuickMeal","",-73.8280644,40.877569,"149 DREISER LOOP, New York City"
"841","ISLAND PRIDE RESTAURANT","BROOKLYN",11203,"7183451034","Mexcian","",-73.926363,40.652628,"5403 CHURCH AVENUE, New York City"
"842","MORNINGSTAR RESTAURANT","MANHATTAN",10022,"2125881050","American","A",-73.9686148,40.7552279,"949 2 AVENUE, New York City"
"843","NEW THRIVING RESTAURANT","QUEENS",11419,"7188358888","Chinese","",-73.822726,40.686518,"12012 LIBERTY AVENUE, New York City"
"844","BEKY BAKERY AND COFFEE SHOP","QUEENS",11368,"7183970329","European","B",-73.86366,40.751216,"3778 103 STREET, New York City"
"845","GYRO EXPRESS","QUEENS",11370,"7182781230","European","A",-73.9909175,40.6082291,"7706 21ST AVE, New York City"
