NAME,GRADE,ADDRESS,ZIPCODE,RATING,PRICE,LAT,LON,CUISINE,TAG,TEL
SPICE,Z,AMSTERDAM AVE,10025,3.5,$$,40.80161235,-73.96479018,Asian,chicken service nice night recommend favorite,12128644168
BELL DINER,A,73 AVENUE,11364,3.5,$$,40.7409068,-73.7585488,American,chicken service nice night pretty favorite,17182790333
HUA LONG,Z,FULTON ST,11217,3.5,$,40.6857872,-73.97373199,Chinese,chicken service nice night quick favorite,17188755362
PUNJABI DINER,C,101ST AVE,11419,2.5,$$,40.68933088,-73.82836213,Asian,service chicken nice pretty recommend friend,17188463900
242 CAFE BAKERY,C,CANAL STREET,10013,2.5,$,40.717983,-74.00032,Chinese,service chicken favorite night nice table,12123432505
PRO THAI,Z,LEXINGTON AVE,10029,4,$$,40.78888,-73.94857,Asian,chicken service nice favorite night friend,19174751494
MAR'S,B,34 AVE,11106,4,$$$,40.75831694,-73.92412875,American,chicken service nice menu night favorite,17186852480
CLEM'S,A,GRAND STREET,11211,4,$,40.71327,-73.95856,American,service chicken night nice favorite menu,17183879617
THE KIOSK,,EAST  116 STREET,0,4,$$,40.7993629,-73.9437368,Other,service chicken nice night favorite table,12129961242
LA GUALACENA BAR & RESTAURANT,A,WYCKOFF AVE,11237,3,$$,40.70209,-73.91587,European,chicken service nice favorite recommend bad,17184561002
SALEM'S HOUR,,NOSTRAND AVE,11225,4.5,$$,40.660554,-73.9507766,American,service chicken night nice menu wait,13474251036
GOGO-GI,,BROADWAY,10032,4,$$,40.83794,-73.94171,Asian,chicken service nice night pretty recommend,12125430922
BENEMON,A,E 4TH ST,10003,4.5,$$,40.72551,-73.98838,Asian,chicken service nice night favorite friend,12126143006
99 CENT FRESH PIZZA,A,2ND AVE,10003,4,$,40.7264595,-73.9895782,Pizza,chicken service nice night pretty quick,12129673310
MANGIAS PIZZA AND PIZZA,A,CROSBY AVENUE,10461,3.5,$,40.846699,-73.831687,Pizza,chicken service menu night nice slice,17185974992
CAROM CAFE BILLIARDS,A,LINDEN PLACE,11354,3.5,$,40.7663122,-73.8315112,Asian,nice service night chicken table eat,17183588585
CHIMI EXPRESS RESTAURANT,A,43RD AVE,11368,4,$,40.74691445,-73.86270466,Latin,service chicken nice recommend wait disappointed,17184275513
NEW TU DO RESTAURANT,A,BOWERY,10013,4,$,40.71782392,-73.99533059,Asian,chicken service nice favorite night pretty,12129662666
LAYALY CAFE,A,BROADWAY,11103,4.5,$$,40.75741498,-73.91536535,European,chicken service night nice favorite menu,17186068778
PARKCHESTER FISH & CHIPS,A,ARCHER STREET,10462,4,$,40.83781,-73.8632,Other,service chicken nice favorite night table,17188282535
UNTAMED SANDWICHES,C,W 39TH ST,10018,4,$$,40.75271,-73.98438,American,chicken nice service night menu im,16466699397
THE WAYLAND,,EAST    9 STREET,10009,4.5,$$,40.7251,-73.9778,American,service chicken night nice favorite pretty,12127777022
HAWANA,Z,QUEENS BLVD,11374,3.5,$$,40.73012,-73.8636,Chinese,chicken service nice favorite night table,17188970429
RED HOOK LOBSTER POUND,,PARK AVE,10169,4,$$,40.754623,-73.976605,Other,chicken service night nice eat table,16467470810
CAFE BARI,A,AVENUE OF THE AMERICAS,10018,4,$$,40.71909,-74.00173,Coffee,service chicken night nice favorite table,12124314350
SAVOUR SICHUAN,B,W 39TH ST,10018,3.5,$$,40.75311,-73.98614,Chinese,chicken service nice table menu eat,12122217237
HAANDI,Not Yet Graded,LEXINGTON AVE,10016,3.5,$,40.7424,-73.98237,Asian,chicken service favorite nice night eat,12126855200
SEXY TACO DIRTY CASH,A,MALCOLM X BLVD,10026,3.5,$$,40.8035513,-73.9488703,American,chicken service night nice recommend favorite,12122804700
TERROIR TRIBECA,A,HARRISON STREET,10013,4,$$,40.718805,-74.00999878,European,service chicken night favorite nice friend,12126259463
CLUB MACANUDO (CIGAR BAR),A,EAST   63 STREET,10065,4,$$$,40.76595063,-73.96934352,American,service nice night chicken eat favorite,12127528200
JARDIN DE CHINA REST,B,JUNCTION BOULEVARD,11368,4,$$,40.7506089,-73.8700722,Chinese,chicken service nice favorite night rice,17184763755
TOSOCCHON,A,BELL BLVD,11361,3.5,$$,40.7593788,-73.7691953,Asian,service chicken nice night table favorite,17182290777
BREAD & BUTTER,B,PARK AVE S,10016,3,$$,40.74373,-73.98356,Other,chicken service night quick eat nice,12126830444
CAFE MARGOT PATISSERIE,A,BROADWAY,10023,3.5,$$,40.78007538,-73.98224704,QuickMeal,service chicken nice night menu eat,12127210076
MARISCO CENTRO,A,SAINT NICHOLAS AVE,10033,3.5,$$,40.8513419,-73.9320485,Other,chicken service nice night pretty delicious,12127402000
HONG BAO CAFE,A,18 AVENUE,11204,4.5,$,40.61983444,-73.98923595,Chinese,chicken night recommend eat nice service,17186213598
DUDLEYS,,ORCHARD STREET,10002,4,$$,40.7179985,-73.9904345,Other,chicken service nice night menu pretty,12129257355
BIG WONG RESTAURANT,B,MOTT ST,10013,3.5,$,40.71624,-73.99842,Chinese,chicken service nice favorite night menu,12129640540
PETER MCMANUS CAFE,A,7 AVENUE,10011,3.5,$$,40.74186325,-73.99765015,European,service night chicken nice menu favorite,12129299691
TACOS EL REY,A,CONEY ISLAND AVENUE,11235,4,$,40.578785,-73.960027,Latin,chicken service nice favorite table menu,17187690116
SOPHIE'S RESTAURANT(Entrance on 73 New Street),A,BROADWAY,10004,3.5,$$,40.7056891,-74.0124735,Latin,chicken service nice table night menu,12128097755
GATSBY'S,A,SPRING STREET,10012,2.5,$$,40.72232,-73.99654,American,chicken service nice night quick recommend,12123344430
LASAGNA RESTAURANT,A,8 AVENUE,10011,3.5,$$,40.7432418,-73.9996916,European,chicken nice service night quick table,12122424551
KINGS BEER HALL - THE KBH,A,SAINT MARKS PL,11217,3,$$,40.68138,-73.97953,European,service chicken night nice favorite menu,13472277238
THE CRAIC,A,DRIGGS AVE,11211,4,$$,40.7184955,-73.9548923,European,chicken night service nice favorite bar,13473842772
PRABHU KIRPA SWEETS AND RESTAURANT,A,ROCKAWAY BOULEVARD,11420,5,$$$,40.67483,-73.80412,Asian,service nice chicken delicious counter night,17187383030
MOTORINO,A,COLUMBUS AVE,10024,3.5,$$,40.7855672,-73.9730817,Pizza,chicken service nice night pizza table,19176757581
CHIRPING CHICKEN,A,W 145TH ST,10039,3.5,,40.822318,-73.940193,QuickMeal,chicken table service favorite recommend wasnt,17184408700
ARIA,B,PERRY STREET,10014,3.5,$$,40.73512,-74.00671,European,chicken service nice night table favorite,12122424233
PENNSYLVANIA 6,A,WEST   31 STREET,10001,4,$$,40.74836552,-73.99079447,American,chicken service nice night favorite neighborhood,12127273666
BOMBAY SANDWICH CO,A,W. 27TH STREET,10001,4,$$,40.74507155,-73.99035962,Other,chicken service night nice favorite menu,16467819756
"DUNKIN' DONUTS, BASKIN ROBBINS",A,5 AVENUE,11215,3.5,$,40.66906,-73.9866,QuickMeal,chicken menu nice table favorite service,17188329460
NICKY'S JAMAICAN CUISINE,A,EAST   80 STREET,11236,3,$,40.6357,-73.9137499,Latin,chicken service favorite recommend table delicious,17184448100
BAOHAUS,A,EAST   14 STREET,10003,3.5,$,40.73246909,-73.9857136,Asian,chicken service nice night favorite pretty,16466698889
ANTICA,A,CANAL ST,10013,3.5,$$,40.72066116,-74.0043869,American,service chicken nice night favorite table,16464392460
VILLA ITALIAN KITCHEN,A,LAGUARDIA AIRPORT,11369,3,,40.77621078,-73.87397003,Pizza,quick service wait airport decent grub,17187794845
MANDARIN ORIENTAL HOTEL-CAFETERIA,A,COLUMBUS CIRCLE,10023,4,$$$$,40.76847,-73.98309,American,chicken service night nice favorite table,12128058800
GOOD DAY RESTAURANT,,18 AVENUE,11204,3,$$,40.6208992,-73.9887466,Chinese,chicken service nice night menu table,17182368118
BROOKLYN CREPE AND JUICE BAR,A,FLATBUSH AVENUE,11217,4,$,40.67910469,-73.97411338,QuickMeal,chicken service nice night favorite menu,17186381023
MAIN NOODLE HOUSE,A,6TH AVE,10018,3.5,$$,40.752143,-73.986396,Chinese,chicken service nice quick eat pretty,12128690888
EL CASTILLO DE YAQUE RESTAURANT,Z,FIFTH AVENUE,11220,3,$$,40.647361,-74.008377,Latin,chicken service nice night favorite table,17184395847
NAPOLI PIZZA,A,LIVONIA AVENUE,11212,2.5,$$,40.662402,-73.908357,Pizza,service chicken eat ive night pizza,17183859153
LA FLACA,A,GRAND STREET,10002,3.5,$$,40.7165,-73.98763,Latin,service chicken nice night quick wait,16466929259
PARSON'S DINER,A,PARSONS BOULEVARD,11354,3,$$,40.7756081,-73.8242899,American,service chicken nice night favorite wait,17183532223
BuBo,A,3 AVENUE,10016,4.5,$$$,40.74598,-73.97753,American,chicken service nice night favorite pretty,12125323300
LOUKOUMI TAVERNA,,DITMARS BOULEVARD,11105,4.5,$$,40.77079,-73.90268,European,chicken service nice table favorite pretty,17186263200
SABOR PERUANO RESTAURANT,A,CORONA AVE,11368,1,,40.74507,-73.86346,Latin,advertised bar chicken eat ill im,17184244755
USHIWAKAMARU,B,W 23RD ST,10011,4,$$$$,40.74615473,-74.00092343,Asian,xa chicken service nice night favorite,19176393940
DOKEBI GRILL,Z,GRAND STREET,11211,3.5,$$,40.71432,-73.96021,Asian,chicken service nice night favorite quick,17187821424
MR. FALAFEL RESTAURANT,A,7 AVENUE,11215,4,$,40.67029572,-73.97909546,Other,chicken service nice eat favorite night,17187684961
CHIKURIN,A,NEW DORP LN,10306,3.5,$$,40.57090996,-74.1103249,Asian,chicken service favorite table nice recommend,17183517111
IL FORNETTO TRATTORIA CAFE,A,EMMONS AVENUE,11235,4,$$,40.5835841,-73.9397077,European,service chicken nice night favorite table,17183328494
BONAO CHIMI RESTAURANT,B,JAMAICA AVENUE,11421,4,$,40.69144058,-73.86502075,European,chicken service chimi nice night empanadas,13478293089
718 HOOKAH LOUNGE,A,AUSTIN ST,11375,3.5,$$,40.7191907,-73.8422334,European,service night nice chicken pretty table,17185207213
GYRO 96,A,E 96TH ST,10128,4,$,40.78611329,-73.95119238,European,chicken service nice night favorite table,12124701089
STAR RESTAURANT,A,WESTCHESTER AVE,10459,1,,40.8274728,-73.8861619,European,chicken service im minutes nice arrived,13478206000
DUNKIN' DONUTS,A,GREAVES LANE,10308,3,,40.55421839,-74.14325925,QuickMeal,service donuts night bad chicken pretty,17189667111
HUMMUS PLACE,,AMSTERDAM AVENUE,10023,4,$$,40.780044,-73.98027,Other,chicken service nice night table neighborhood,12127993335
HAPPY WOK,B,BEACH CHANNEL DR,11692,1,$,40.592634,-73.795908,Chinese,chicken favorite night service called delivery,17189451202
CLAUDIO'S,,8TH AVE,10001,4,$,40.7475857,-73.99673485,Pizza,chicken service nice night friend favorite,12122560212
ZIA MARIA,A,W 23RD ST,10011,4,$$,40.7454863,-73.9993392,Pizza,chicken service nice night menu pretty,12125249200
WILLIAM HALLET,Z,30 AVENUE,11103,3.5,$$,40.7648383,-73.9169948,American,chicken service night nice favorite friend,17182693443
BAGELS & CO,A,UNION TURNPIKE,11366,3.5,$$,40.729117,-73.780948,Other,chicken service nice night pretty bagel,17182177755
BAGEL SHOPPE,A,73 AVENUE,11364,3.5,$,40.7408499,-73.7586307,QuickMeal,service chicken bagel nice table night,17184236692
PJ BERNSTEIN DELI & RESTAURANT,A,THIRD AVENUE,10021,3.5,$$,40.76851333,-73.96122892,Other,service chicken nice recommend soup favorite,12128790914
COMMONWEALTH,A,5 AVENUE,11215,4,$$,40.667167,-73.987648,American,night service chicken nice favorite menu,17187682040
HOWONG RESTAURANT,A,BAY PARKWAY,11204,3,$$,40.612461,-73.983315,Chinese,service chicken nice favorite night quick,17182320833
ARTICHOKE BASILLE'S PIZZA & BAR,A,MACDOUGAL STREET,10012,3.5,$,40.72986596,-74.00078904,Pizza,chicken nice service night favorite recommend,16462786100
99 CENTS TASTY HOT PIZZA,A,W 42ND ST,10036,3.5,$,40.758222,-73.992425,Pizza,chicken favorite service night pretty nice,12122681461
LOMA BAR & GRILL,A,BROADWAY,11206,4,$,40.69722,-73.9354,European,chicken pretty bar eat night recommend,17184430243
MCDONALD'S,A,EAST  161 STREET,0,1.5,,40.82801565,-73.92528534,QuickMeal,menu wait minutes recommend service times,17185901990
SEAN'S BAR & KITCHEN,A,W 48TH ST,10036,4,$$,40.75801,-73.98008,American,service chicken nice night favorite wait,12127649090
DOWNTOWN GALWAY HOOKER,A,7 AVENUE SOUTH,10014,3,$$,40.73456,-74.0019949,European,chicken service night nice pretty quick,12126756220
SWEET CHICK,,BEDFORD AVENUE,11249,4,$$,40.718423,-73.9574279,American,chicken service nice night wait menu,13477254793
BLISS 46  BISTRO,A,46 STREET,11104,4,$$,40.7441711,-73.9186707,Latin,chicken nice service night favorite table,17183610690
LINDA ASIAN KITCHEN,A,DEKALB AVE,11221,3,,40.692363,-73.940589,Chinese,chicken service night favorite nice delicious,17185741686
NEW YORK LAGUARDIA AIRPORT MARRIOTT,B,DITMARS BLVD,11369,3,$$,40.768944,-73.867635,American,service chicken nice night table recommend,17185658900
IRVING FARM,A,IRVING PLACE,10003,3.5,$$,40.73671619,-73.98681688,American,chicken service nice favorite night quick,12129955252
LOPEZ BAKERY,A,5TH AVE,11215,4,$,40.66256225,-73.99201381,QuickMeal,service chicken nice night delicious neighborhood,19179091238
RONG RESTAURANT,A,39TH AVE,11354,3.5,$$,40.75959162,-73.8323721,Asian,chicken service nice night friend table,17189393996
LASER BOUNCE,,COOPER AVE,11385,4,,40.7094481,-73.8687832,American,chicken service night wait table favorite,13475991919
DANTE'S GOURMET FOOD,A,WILLIAM STREET,10038,3,$,40.71022,-74.00568,American,chicken night service quick favorite nice,12122332255
EVERYTHING YOGURT/GRETEL'S PRETZELS,A,KINGS PLAZA MALL,11234,4,$,40.61896,-73.922655,Drink&Sweets,service table chicken recommend appetizer delicious,17182583828
EAST SUSHI,A,AMBOY ROAD,10312,3.5,$,40.545473,-74.161814,Asian,chicken service nice night favorite menu,17189668888
STARZ BANQUET HALL,,MERRICK BOULEVARD,11413,1,,40.70515633,-73.79348732,Latin,horrible NA NA NA NA NA,17189778279
PAK LAHORI CHILLI,B,CONEY ISLAND AVE,11230,3.5,$,40.63253,-73.96705,Asian,chicken service nice favorite night recommend,17188591400
COLD STONE CREAMERY,A,CORSON AVE,10301,3.5,$$,40.638398,-74.079191,Drink&Sweets,service nice chicken favorite pretty table,17188768868
ST MAZIE,B,GRAND STREET,11211,4,$$,40.71252,-73.95587,American,service chicken night nice quick delicious,17183844807
ART BAR,Z,8 AVENUE,10014,3.5,$$,40.73844,-74.00343,American,chicken service night nice table menu,12127270244
GUAN DONG YI JIA,B,KISSENA BOULEVARD,11355,4,$$,40.75051054,-73.81892033,Chinese,chicken service nice favorite friend menu,19172852052
SBARRO,A,QUEENS BOULEVARD,11373,2,$$,40.73462,-73.87094,American,chicken service nice neighborhood eat table,17182710681
HAMPTON INN-HERALD SQUARE,A,WEST   31 STREET,10001,3.5,$$,40.74806213,-73.99018097,American,chicken service night nice recommend neighborhood,12129479700
EL TORO BRAVO,,ROOSEVELT AVENUE,11372,4,$$,40.74799306,-73.87809087,Latin,chicken service nice night pretty menu,17185051025
RELIABLE FOOD,A,EAST   54 STREET,10022,3.5,$$,40.76011,-73.97288,American,service chicken night nice table menu,12127506363
TROPICAL SMOOTHIE CAFE,A,FOREST AVE,10302,5,,40.62508,-74.13602,QuickMeal,friendly youre atmosphere nice organized recommend,13154003300
DUNKIN' DONUTS,A,UNION TURNPIKE,11004,2,$,40.7455684,-73.7150835,QuickMeal,service chicken night recommend nice favorite,17183433611
MCDONALD'S,A,UNION SQUARE WEST,10003,2,$,40.7370049,-73.9905766,QuickMeal,chicken service nice table night favorite,12126459079
EMPIRE103,A,EMPIRE BOULEVARD,11225,3,$$,40.6638499,-73.9586273,American,nice night chicken service favorite menu,17189417220
SMASHBURGER,,GATEWAY DR,11239,3.5,$$,40.653523,-73.871513,American,service chicken menu favorite night nice,17182356900
BERMUDEZ BAKERY,A,LEXINGTON AVENUE,10035,4.5,$,40.79901159,-73.94126996,QuickMeal,service chicken eat favorite friend im,12124272877
TRI TIP GRILL,,ROCKERFELLER PLAZA,0,4,$$,40.759286,-73.979341,American,chicken service night favorite nice table,12126641030
ORIGINAL PIZZA,A,RALPH AVENUE,11234,3.5,$,40.62039825,-73.91724168,Pizza,chicken service night nice pizza favorite,17184445007
TOASTIES,A,EAST   51 STREET,10022,3.5,$,40.75896,-73.975414,American,chicken service night favorite nice table,12123717676
JACQUES TORRES ICE CREAM,Z,E 42 ST,10017,3,$,40.75295736,-73.97758171,Drink&Sweets,chicken service nice night favorite recommend,12129837353
LA BRISA DEL CIBAO,Z,103 STREET,11368,3.5,$$,40.75133,-73.863099,Latin,service chicken nice table favorite pretty,17182054941
JOHNNY'S CAFE,A,FRESH POND ROAD,11378,3,$$,40.71605,-73.90124,European,service chicken nice night eat quick,13474029900
KABIR'S BAKERY,Z,FOSTER AVE,11230,4,$,40.634217,-73.963246,QuickMeal,chicken service night favorite menu love,17188592348
NGI,A,WEST 21 STREET,10010,4.5,,40.74115,-73.99285,Other,service chicken night nice favorite table,12126455170
CHARLOTTE PATISSERIE,A,MANHATTAN AVENUE,11222,4.5,$$,40.72308,-73.95025,Coffee,service chicken nice night favorite pretty,17183838313
CHIPOTLE MEXICAN GRILL,A,BROADWAY,10003,3,$,40.73734105,-73.99004537,Latin,chicken service nice wait favorite table,12122537860
LINA RESTAURANT,A,WEST  207 STREET,10034,4.5,$$,40.8642807,-73.91943359,Latin,xa service chicken night nice favorite,12125675031
BRICOLAGE,A,5TH AVE,11217,4,$$,40.67792,-73.97975,Asian,chicken service nice night favorite menu,17182301835
PATSY'S PIZZERIA,A,MORRIS PARK AVE,10462,3,$$,40.84766,-73.85654,Pizza,service chicken nice favorite night quick,17186762527
SARABETH'S,A,GREENWICH STREET,10013,3.5,$$,40.7183455,-74.0102912,American,chicken service nice night favorite table,12129660421
DAUNGDEE THAI,A,METROPOLITAN AVE,11211,4.5,,40.7139499,-73.95554,Asian,chicken service night nice favorite quick,13477213878
VACCA GRILL & LOUNGE,A,WEST 203RD ST,10034,2,$$,40.861233,-73.920048,American,nice table chicken service quick favorite,12125440070
TINY'S DINER,A,RIVERDALE AVENUE,10463,3,$$,40.88674112,-73.90720452,American,chicken service nice night table recommend,17187087600
CITY ISLAND CHINESE RESTAURANT,A,CITY ISLAND AVE,0,2.5,$$,40.8400899,-73.78365,Chinese,chicken service menu nice pretty recommend,17188853775
TIENDA VIEJA RESTAURANT,A,FRESH MEADOW LANE,0,3,$$,40.73471211,-73.79473608,European,service chicken nice night quick wait,17183213644
KILO BRAVO,A,N 10TH ST,11211,4,$,40.718884,-73.955421,American,service night chicken favorite nice quick,13479874379
NY FRESH PIZZA,A,9 AVENUE,10019,3.5,$,40.765152,-73.988144,Pizza,chicken service night nice quick pizza,12125862600
CAFE COUSINA RESTAURANT,A,JEROME AVE,10452,3,$,40.83898859,-73.91838335,European,service chicken delicious nice night favorite,13472977890
GINO'S PIZZA,A,KISSENA BOULEVARD,11367,3.5,$,40.737017,-73.814383,Pizza,chicken service nice favorite night table,17189394474
MCDONALD'S,A,7 AVENUE,10001,2.5,$,40.750515,-73.990654,QuickMeal,chicken night favorite nice service table,12127367890
BUBBLE COOL,,MAIN ST,10044,4,$,40.7622,-73.94975,Coffee,service chicken nice night menu favorite,17187220313
LITTLE CUPCAKE BAKE SHOP,A,PRINCE STREET,10012,3.5,$$,40.72291,-73.9948299,QuickMeal,chicken service nice night pretty favorite,12129419100
BARNACHO,A,2ND AVE,10017,4,$$,40.75403214,-73.96884918,Latin,chicken service night quick nice menu,12128329426
EMPIRE STEAKHOUSE,Z,W 54TH ST,10019,3.5,$$$,40.7645155,-73.9830465,Other,chicken service nice favorite night table,12125869700
MONAHAN & FITZGERALD,A,41 AVENUE,11361,4,$$,40.76389,-73.77029,European,service chicken nice night favorite menu,17182794450
PEAK THAI,A,E 49TH ST,10017,3.5,$$,40.7542526,-73.9685278,Asian,service chicken nice favorite menu night,16464541333
HARLEM SHAKE,A,WEST 124 STREET,10027,3.5,$$,40.80709881,-73.94641581,American,chicken service nice night pretty table,12122228300
FORNINO,A,MANHATTAN AVE,11222,4,$$,40.71755097,-73.95769538,Pizza,chicken service night nice favorite menu,17183846004
NACHO MACHO TACO,A,PROSPECT PL,11238,4.5,$$,40.67640681,-73.96272753,Latin,chicken service nice night favorite recommend,17186222727
STARBUCKS,A,RICHMOND AVENUE,10314,3,$$,40.58164284,-74.166346,Coffee,chicken table service nice night favorite,17184775010
ALIADA,A,BROADWAY,11106,4,$$,40.7626,-73.92616,European,service nice chicken night delicious menu,17189322240
OOTOYA,A,W 41ST ST,10036,4,$$,40.75487,-73.98599,Asian,chicken service nice night favorite wait,12127040833
MORTON'S THE STEAKHOUSE,A,WASHINGTON STREET,10006,4,$$$,40.70970052,-74.0139538,Other,chicken nice service favorite night quick,12126080171
SOUTHEAST BAKERY,A,FORT HAMILTON PARKWAY,11219,4.5,$,40.628654,-74.011742,Chinese,chicken nice fresh friend friendly service,17186801188
KODA RESTAURANT & LOUNGE,A,FLUSHING AVENUE,11206,4,$$,40.703128,-73.933319,Asian,chicken nice service night delicious menu,13472234026
PESCADA NEW YORK,,OCEAN AVE,11230,3.5,$$$,40.61883101,-73.95540085,Other,service chicken nice table night favorite,17187662759
RAVAGH PERSIAN GRILL,A,EAST   30 STREET,10016,4,$$,40.74573,-73.98543,Other,service chicken nice night favorite pretty,12126960300
WINE & DESIGN,A,DEKALB AVE,11205,4.5,,40.68942,-73.9706,Other,night nice chicken service quick favorite,17187227374
HEIDELBERG RESTAURANT,A,2 AVENUE,10028,4,$$,40.77742,-73.95172,European,service chicken nice night menu favorite,12126282332
M.I.A. MADE IN ASTORIA,B,21ST ST,11102,3,$$,40.77112,-73.926401,American,service chicken nice night pretty favorite,17186509848
OSTERIA AL DODGE,A,WEST   44 STREET,10036,4,$$$,40.75662,-73.9849,European,service chicken night nice favorite friend,12129443643
"DUNKIN' DONUTS, BASKIN ROBBINS",A,SMITH STREET,11201,1.5,$$,40.686668,-73.990814,QuickMeal,chicken night service cream favorite menu,17184030386
RIPE,A,CLINTON ST,10002,5,,40.7185323,-73.985359,American,chicken service night ripe eat fresh,16468381054
ADDEO'S RIVERDALE PIZZERIA,B,RIVERDALE AVENUE,10471,3.5,$,40.9056664,-73.9042587,Pizza,service chicken nice favorite night table,17185494750
SWEETS BY CHLOE,A,BLEECKER ST,10012,4,$$,40.729219,-74.001021,QuickMeal,chicken service nice favorite night menu,12122908000
A A JING,Z,9TH AVE,10036,3.5,$$,40.762,-73.99041,Asian,chicken service nice night favorite menu,12122450800
LUCKY PIZZERIA & CAFE,A,QUEENS PLZ S,11101,3.5,$,40.74997814,-73.93958515,American,service chicken night table pizza nice,17187849897
CHANG HONG,,IRVING AVENUE,11237,3.5,$$,40.696949,-73.910232,Chinese,chicken service nice delicious ive love,17188215988
PAM REAL THAI 49,A,W 49TH ST,10019,3.5,$$,40.762978,-73.98993,Asian,chicken service nice favorite night recommend,12123337500
RUSTY'S FLAVOR,A,ADAM CLAYTON POWELL JR BLVD,10030,3,$,40.81356,-73.94445,Latin,chicken service nice night favorite eat,12123683403
FLATBUSH HALAL RESTAURANT,,FLATBUSH AVENUE,11226,3.5,$,40.640733,-73.956189,Latin,night chicken service nice favorite recommend,17182845200
"DUNKIN' DONUTS, BASKIN ROBBINS",A,JAMAICA AVENUE,11423,3,,40.710563,-73.772079,QuickMeal,chicken burger cookies cream dislike ice,17184543501
KING HOUSE,A,WESTCHESTER AVENUE,10461,4,,40.83701,-73.84668,Chinese,night wait chicken expected pretty serve,17185188833
BIG ALS CHICAGO PIZZA,A,THAMES STREET,10006,3.5,$,40.70892856,-74.01177296,Pizza,chicken service nice night favorite pizza,12129643269
BOBBY VAN'S,A,PARK AVENUE,10169,3.5,$$$$,40.75437682,-73.97556067,Other,service chicken night nice favorite pretty,12128675490
NEW CHENG'S ORIENTAL EXPRESS,A,BOWNE ST,11355,4,$,40.7569299,-73.8215,Chinese,chicken service favorite menu nice night,17184456888
THE WATER CLUB,,EAST   30 STREET,10016,3.5,,40.74036395,-73.97243857,Other,chicken nice service night favorite table,12126833333
SUBWAY,A,3 AVENUE,10029,1.5,,40.790287,-73.945205,QuickMeal,nice chicken table wasnt night cookies,12125344676
CROWN FRIED CHICKEN,A,NOSTRAND AVE,11226,3.5,,40.65614,-73.94998,QuickMeal,service wait night favorite nice arrived,17182841177
BEN'S PIZZA,A,MACDOUGAL ST,10012,3.5,$,40.7304,-74.00027,Pizza,chicken service favorite night eat nice,12126770976
PARM,Z,MULBERRY STREET,10012,3.5,$$,40.72303,-73.99567,European,chicken service nice night menu favorite,12129937189
SUBWAY,A,EAST 174 STREET,10460,3,$,40.836821,-73.8856905,QuickMeal,chicken eat service fresh friendly ive,17183782702
PIO PIO,A,WOODHAVEN BOULEVARD,11374,4,$$,40.7263774,-73.8705844,Latin,chicken service nice menu night eat,17184580606
THE LONDON NYC (RESTAURANT/BAR/STORAGE),A,W 54TH ST,10019,3.5,$$$,40.76336999,-73.98057709,American,chicken service nice night favorite table,12123075000
HAN GAWI,A,EAST   32 STREET,10016,4,$$$,40.746737,-73.984662,Asian,chicken service night nice favorite recommend,12122130077
TACOS EL TORITO VERSATILE,A,MELROSE AVE,10455,4.5,,40.8172799,-73.91705,Latin,service chicken neighborhood night pretty table,17186187265
ARTE RESTAURANT,A,EAST    9 STREET,10003,3.5,$$$,40.73241,-73.99462,European,chicken service nice night favorite quick,12124730077
BLACK TAP LES,A,LUDLOW ST,10002,3.5,$$,40.723807,-74.004351,American,chicken service nice night favorite table,19176393089
ELI'S ESSENTIALS,A,LEXINGTON AVE,10028,2,$$,40.780034,-73.955011,American,service chicken nice favorite night quick,12123484940
TUNG THONG THAI RESTAURANT,B,WEST 169TH STREET,10032,3.5,$$,40.84140623,-73.93865327,Asian,chicken service nice night delicious menu,12127955995
CARL'S JR,,CLARKSON AVE,11203,4,,40.65574,-73.94281,QuickMeal,chicken table service fried neighborhood menu,17184839667
ENERGY FUEL,A,FRESH POND ROAD,11385,2.5,$$,40.709449,-73.899076,American,chicken service favorite recommend nice table,17184563835
BAKE AND THINGS RESTAURANT,A,EAST   35 STREET,11203,4,$,40.65082,-73.94487,Latin,chicken service nice recommend night table,17188261807
I LOVE PIZZA,,3RD AVE,10451,4.5,$,40.821045,-73.912773,Pizza,chicken delicious nice service delivery menu,17182925503
SANTOS ANNE,,UNION AVENUE,11211,4,$$,40.71138375,-73.9510456,European,service chicken nice night table menu,17184866979
BACARO,A,DIVISION STREET,10002,4,$$$,40.71456,-73.99154,European,service nice chicken night favorite friend,12129415060
IL PRINCIPE (aka CAFE HUGO),C,GREENWICH ST,10013,3.5,$$$$,40.7264,-74.0088899,European,chicken service nice night favorite pretty,12126081211
KA WAH CHINESE RESTAURANT,A,VALENTINE AVE,10458,4,$,40.87385,-73.88482,Chinese,chicken service delicious neighborhood nice night,17183642458
KENNEDY FRIED CHICKEN,B,MACDOUGAL ST,11233,4,$,40.67924881,-73.92172241,QuickMeal,chicken coming friendly service taste burger,17184675039
QDOBA MEXICAN GRILL,A,RICHMOND AVENUE,10314,3,$,40.5909426,-74.16427553,Other,chicken service night nice favorite eat,17184943408
BUCA/BUCHETTA,A,WEST  103 STREET,10025,4,$$,40.7987564,-73.9673846,Pizza,service chicken nice night favorite menu,12125318730
PLAT FOOD + WINE,,E 4TH ST,10003,4.5,,40.7261989,-73.989751,Other,chicken service nice night favorite delicious,12126581948
KRUSH,,W 32ND ST,10001,3.5,$$,40.747204,-73.986198,American,chicken nice night service table wait,19178649456
